"RecKey","PointLoc","PointNbr","TopCanopy","Lower1","Lower2","Lower3","Lower4","SoilSurface","HeightTop","ChkboxTop","ChkboxLower1","ChkboxLower2","ChkboxLower3","ChkboxLower4","ChkboxSoil","HeightLower1","HeightLower2","HeightLower3","HeightLower4","HeightSurface","HeightWoody","HeightHerbaceous","ShrubShape","SpeciesWoody","SpeciesHerbaceous"
"1506221421522699",0.50,1,"CAFI","","","","","CAFI","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",1.00,2,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",1.50,3,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",2.00,4,"PSSP6","","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",2.50,5,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","0","34",,"","PSSP6"
"1506221421522699",3.00,6,"POSE","VL","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",3.50,7,"PSSP6","CAFI","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",4.00,8,"CAFI","VL","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",4.50,9,"CAFI","L","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",5.00,10,"PSSP6","","","","","GR","",0,0,0,0,0,0,"","","","","","0","41",,"","PSSP6"
"1506221421522699",5.50,11,"CAFI","VL","","","","S","",1,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",6.00,12,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",6.50,13,"POSE","SH01","","","","SH01","",1,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",7.00,14,"None","L","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",7.50,15,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","22","24","S","SH01","PSSP6"
"1506221421522699",8.00,16,"PSSP6","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",8.50,17,"POSE","CAFI","","","","CAFI","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",9.00,18,"SH01","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",9.50,19,"ARHO4","","","","","ARHO4","",1,0,0,0,0,1,"","","","","","","",,"",""
"1506221421522699",10.00,20,"POSE","L","","","","S","",1,0,0,0,0,0,"","","","","","4","44","S","SH01","PSSP6"
"1506221421522699",10.50,21,"None","","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",11.00,22,"None","","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",11.50,23,"CAFI","","","","","LC","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",12.00,24,"None","","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",12.50,25,"CAFI","","","","","GR","",0,0,0,0,0,0,"","","","","","21","51","S","SH01","PSSP6"
"1506221421522699",13.00,26,"SH01","L","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",13.50,27,"PSSP6","L","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",14.00,28,"CAFI","ARHO4","VL","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",14.50,29,"None","","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",15.00,30,"None","","","","","S","",0,0,0,0,0,0,"","","","","","0","50",,"","HECO26"
"1506221421522699",15.50,31,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",16.00,32,"ARHO4","L","","","","ARHO4","",1,0,0,0,0,1,"","","","","","","",,"",""
"1506221421522699",16.50,33,"CAFI","","","","","GR","",1,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",17.00,34,"CAFI","L","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",17.50,35,"CAFI","L","","","","S","",1,0,0,0,0,0,"","","","","","0","12",,"","CAFI"
"1506221421522699",18.00,36,"None","","","","","GR","",0,0,0,0,0,0,"","","","","","","",,"",""
"1506221421522699",18.50,37,"CAFI","L","","","","S","",0,0,0,0,0,0,"","","","","","","",,"",""
